ID,COUNTRY_NAME,ISO3,ISO2,POLICY_TYPE,POLICY_SUBTYPE,START_DATE,END_DATE,AIR,AIR_TYPE,TARGETS_AIR,LAND,LAND_TYPE,TARGETS_LAND,SEA,SEA_TYPE,TARGETS_SEA,CITIZEN,CITIZEN_LIST,HISTORY_BAN,HISTORY_BAN_LIST,REFUGEE,REFUGEE_LIST,VISA_BAN,VISA_BAN_TYPE,VISA_BAN_LIST,CITIZEN_EXCEP,CITIZEN_EXCEP_LIST,COUNTRY_EXCEP,COUNTRY_EXCEP_LIST,WORK_EXCEP,SOURCE_TYPE,INTERNAL_GOVT_SOURCE,AIRLINE_SOURCE,INSURANCE_SOURCE,GOVT_SOCIAL_MED_SOURCE,EXT_GOVT_SOURCE,INTERNAL_MEDIA_SOURCE,EXT_MEDIA_SOURCE,OTHER_SOURCE,END_SOURCE
362,"Korea, Democratic People's Republic of",PRK,KP,COMPLETE,ESSENTIAL_ONLY,01_22_20,NONE,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,"3,7",,,https://web.archive.org/web/20200313010930/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,,https://web.archive.org/web/20200531000132/https://www.straitstimes.com/asia/east-asia/north-korea-to-temporarily-ban-tourists-over-wuhan-virus-fears-says-tour-company,,
497,Namibia,NAM,NA,COMPLETE,ESSENTIAL_ONLY,06_02_20,06_29_20,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,1,https://web.archive.org/web/20201205195856/https://www.facebook.com/media/set/?set=a.2782633291848116&type=3,,,,,,,,
685,Jordan,JOR,JO,COMPLETE,ESSENTIAL_ONLY,03_17_20,07_04_20,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,2,,https://web.archive.org/web/20200318223018/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,,,,,,
686,Jordan,JOR,JO,COMPLETE,ESSENTIAL_ONLY,03_17_20,07_01_20,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,8,,,,,,,,https://jo.usembassy.gov/covid-19-information/,
720,Lebanon,LBN,LB,COMPLETE,ESSENTIAL_ONLY,03_18_20,03_29_20,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,7,,,,,,,https://web.archive.org/web/20201201012219if_/https://uk.reuters.com/article/uk-health-coronavirus-lebanon/lebanon-launches-countrywide-shutdown-airport-closure-to-combat-coronavirus-idUKKBN2120SD,,
800,Jordan,JOR,JO,COMPLETE,ESSENTIAL_ONLY,03_17_20,07_04_20,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,1,https://web.archive.org/web/20200531190357/http://www.viaggiaresicuri.it/country/JOR,,,,,,,,
1070,Angola,AGO,AO,COMPLETE,ESSENTIAL_ONLY,03_20_20,05_26_20,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,6,,,,,,https://web.archive.org/web/20201209010810/https:/www.verangola.net/va/en/032020/Health/19070/Angola-closes-air-land-and-sea-borders-to-passengers-for-15-days.htm,,,https://web.archive.org/web/20201209010143/https:/www.verangola.net/va/en/052020/Transports/20142/Borders-remain-closed-but-nationals-and-foreign-residents-may-return.htm
1267,Guinea-Bissau,GNB,GW,COMPLETE,ESSENTIAL_ONLY,03_18_20,08_01_20,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,5,,,,,https://web.archive.org/web/20200320221853/https://gw.usmission.gov/covid-19-information/,,,,
1367,Malaysia,MYS,MY,COMPLETE,ESSENTIAL_ONLY,03_18_20,12_31_20,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,Brunei,0,1,https://web.archive.org/web/20200321140010/https://www.pmo.gov.my/ms/2020/03/perutusan-khas-yab-perdana-menteri-mengenai-covid-19-16-mac-2020-2/,,,,,,,,https://web.archive.org/web/20201115162954/https://www.iatatravelcentre.com/world.php
1474,Dominican Republic,DOM,DO,COMPLETE,ESSENTIAL_ONLY,03_19_20,03_31_20,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,3,,,https://web.archive.org/web/20200403034458/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,,,, https://web.archive.org/web/20200625011353/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
