MG23,FO04
MG20,BQ10
LF167,CH19
MG26,CW10
MG27,CW11
MG24,FO02
MG25,FO03
MG28,CW12
16077,LT15
SN6,ST02
CH57,GL05
SN4,AO05
SN5,MZ03
SN2,SE06
SN3,LV01
CH51,TH04
NL133,NG03
NL132,KE04
NL131,GH03
NL130,GH02
NL137,GR09
NL136,GR08
SN8,BZ09
SN9,BZ04
346,QA01
347,TT03
3998,UA04
3994,UA03
BW2,CL01
BW3,GY02
BW4,GY03
NT711,DM04
BW9,US04
6159,LV24
2319,OM01
NL139,GR33
NL138,GR10
117898,CF02
299,MY01
297,SA12
294,SA10
293,SA05
291,TL02
3774,LC01
271,SA08
273,UZ03
MS80,NF02
MS83,GF01
MS84,GP03
MS86,YT01
MS87,RE01
BW41,ME06
BW40,ME10
BW43,ME07
BW42,ME03
BW45,ME09
BW44,ME08
CH58,IQ10
1132,SV01
CH59,IQ11
1131,CR05
2441,HU01
106,BS01
2045,TG01
LF182,FI30
LM9,LB07
LF180,FI28
LF181,FI29
LF186,LU11
LF187,LU12
LF184,LU09
LF185,LU10
LM1,PS01
LM2,TJ02
LM3,TJ03
LM4,GE01
LM5,GE02
LM6,LB10
LM7,LB09
MW23,KW04
MW21,OM08
MW26,NZ03
17729,WS05
MW24,KW05
MW25,KW06
MW28,SA13
MW29,SA15
137885,IT03
7265,BD05
16928,JO07
7262,BD03
138287,IQ02
2684,KM03
93,AU01
MW48,IR03
NL68,CC27
NL69,CC28
NL61,XS01
NL62,ZM04
NL63,CC22
NL64,CC23
NL65,CC24
NL66,CC25
NL67,CC26
556,KZ01
552,RO02
3539,CF03
3538,CF01
SN83,CZ13
5459,BR05
SN81,CZ11
SN80,CZ09
SN87,SE13
SN86,SE12
SN85,SE11
SN84,CZ14
SN89,LV48
SN88,SE10
1759,SL01
142370,KW01
1752,SO03
DT40,LS04
DT41,LS05
DT42,PK17
8160,BI05
DT44,ZW02
DT45,SS04
DT46,EH02
12496,JO06
DT48,MY08
DT49,MY10
LF229,NL17
LF228,NL16
LF227,NL15
LF226,NL14
LF225,NL13
LF224,LT27
LF223,LT26
LF222,LT25
LF221,LT24
LF220,LT23
688,JO02
685,JO01
1570,GA02
1577,GN01
SH27,GQ06
SH26,GQ05
SH25,MU09
SH24,MU04
SH23,RS09
SH22,RS08
SH21,RS05
SH20,RS06
SH29,GQ08
626,LK02
CH1,SC04
403,DE10
CH6,AW05
CH8,AW06
CH9,CA02
408,AT15
NL124,KE01
NL125,AU07
NL126,GM03
NL127,GM02
MG39,IE02
MG38,CR04
NL123,NG04
MG35,GL08
MG34,GL06
MG36,GL03
NL128,IR01
NL129,KE03
MG33,GL07
MG32,GL02
CH43,GB01
CH47,FR06
CH48,FR05
EB16,AG06
EB17,AG04
EB14,AG02
EB15,AG01
EB12,CY15
EB13,BQ01
EB11,BH01
370,OM07
EB18,AG07
EB19,CY02
6143,IT02
390,MH04
399,YE01
LM52,TN04
LM53,PK11
LM50,PS05
LM51,TN05
NL3,EC02
NL2,DZ05
MS65 ,LK03
NL7,ES07
NL6,TN02
NL9,ES09
NL8,ES10
243,IT07
MS90,LI01
2450,HU04
2452,HU03
SN44,LV12
2057,UY03
4827,SN05
141930,FI05
139230,FI11
RM2,NL01
RM3,EE03
RM1,NL07
RM4,EE01
MW39,IN09
MW38,VE03
MW35,AE06
MW34,JO12
MW37,SY06
MW36,QA03
MW31,JO09
MW30,SA14
MW33,JO11
MW32,JO10
WY7,MU10
EB124,CC34
EB127,AS16
EB126,AS15
WY3,NU01
WY2,TK01
EB123,JM05
EB122,GI03
EB129,AS18
EB128,AS17
WY9,PG02
WY8,MU07
10716,MW04
1976,PY01
2691,CG02
