Q1,Q1_1_TEXT,Q1_2_TEXT,Q2,Q2_1_TEXT,Q2_2_TEXT,Q3,Q4,Q4_1_TEXT,Q4_2_TEXT,Q4_3_TEXT,Q5
END DATES: Copy and paste the country name and the ID number from the spreadsheet for the (pre-existing) policy to which you are adding an end date. - Selected Choice,END DATES: Copy and paste the country name and the ID number from the spreadsheet for the (pre-existing) policy to which you are adding an end date. - Country name - Text,"END DATES: Copy and paste the country name and the ID number from the spreadsheet for the (pre-existing) policy to which you are adding an end date. - POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID. - Text",Did a new policy end this policy? - Selected Choice,Did a new policy end this policy? - Enter policy ID number of superseding policy here - Text,Did a new policy end this policy? - Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another) - Text,"What month did this policy end (or is set to end in the future)? If this policy was superseded by another, use the start date of the new policy as the end date below.
Keep in mind most policies around the world will be listed in a DD/MM/YYYY format.","Which calendar day (1-31) did this policy end (or is set to end in the future)? 
If this policy was superseded by another, use the same calendar day of the new policy as the end date below.
Keep in mind most policies around the world will be listed in a DD/MM/YYYY format.[If you think this date decision needs to be reviewed, enter ""32"" and provide the source link which is confusing you.] - Selected Choice","Which calendar day (1-31) did this policy end (or is set to end in the future)? 
If this policy was superseded by another, use the same calendar day of the new policy as the end date below.
Keep in mind most policies around the world will be listed in a DD/MM/YYYY format.[If you think this date decision needs to be reviewed, enter ""32"" and provide the source link which is confusing you.] - Enter number 1-31 here - Text","Which calendar day (1-31) did this policy end (or is set to end in the future)? 
If this policy was superseded by another, use the same calendar day of the new policy as the end date below.
Keep in mind most policies around the world will be listed in a DD/MM/YYYY format.[If you think this date decision needs to be reviewed, enter ""32"" and provide the source link which is confusing you.] - Enter source link for your date decision. - Text","Which calendar day (1-31) did this policy end (or is set to end in the future)? 
If this policy was superseded by another, use the same calendar day of the new policy as the end date below.
Keep in mind most policies around the world will be listed in a DD/MM/YYYY format.[If you think this date decision needs to be reviewed, enter ""32"" and provide the source link which is confusing you.] - Enter any notes or clarifications which would explain to a user of the data why you recorded the date you did. - Text",Which year did this policy end?
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Romania,1397,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",12759,https://web.archive.org/save/https://stirioficiale.ro/hotarari/hotarare-nr-26-din-28-05-2020,Jun,Enter number 1-31 here,1,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Montenegro,574,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",12503,https://web.archive.org/save/http://www.gov.me/en/News/225883/Montenegro-opens-all-road-border-crossings-at-midnight.html,Jun,Enter number 1-31 here,1,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Montenegro,573,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",11984,https://web.archive.org/web/20200619150534/https://seenews.com/news/montenegro-to-reopen-intl-airports-on-may-20-699425,May,Enter number 1-31 here,20,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Hungary,2447,Enter policy ID number of superseding policy here,12656,,May,Enter number 1-31 here,1,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Moldova Republic Of,512,"No, this policy has an end date but no new policy",,,May,Enter number 1-31 here,25,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Montenegro,2303,"No, this policy has an end date but no new policy",,,Jun,Enter number 1-31 here,1,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Romania,2328,"No, this policy has an end date but no new policy",,,Jun,Enter number 1-31 here,1,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Romania,1397,"No, this policy has an end date but no new policy",,,Jun,Enter number 1-31 here,1,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Switzerland,8706,Enter policy ID number of superseding policy here,8706,,May,Enter number 1-31 here,11,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Switzerland,8706,Enter policy ID number of superseding policy here,10752,,May,Enter number 1-31 here,15,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Switzerland,10752,Enter policy ID number of superseding policy here,12942,,Jun,Enter number 1-31 here,15,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Switzerland,12942,Enter policy ID number of superseding policy here,13482,,Jun,Enter number 1-31 here,15,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",United States of America,6841,"Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another),No, this policy has an end date but no new policy",,https://web.archive.org/web/20200623193652/https://www.npr.org/2020/06/20/881245867/trump-expected-to-suspend-h-1b-other-visas-until-end-of-year,Dec,Enter number 1-31 here,31,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Uzbekistan,273,"Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another),No, this policy has an end date but no new policy",,https://web.archive.org/web/20200623200015/https://www.garda.com/crisis24/news-alerts/337551/uzbekistan-uzbekistan-airways-extends-suspension-of-commercial-passenger-flights-until-june-30-update-9,Jun,Enter number 1-31 here,30,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Jordan,685,Enter policy ID number of superseding policy here,12496,,Jul,Enter number 1-31 here,4,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Jordan,686,Enter policy ID number of superseding policy here,11973,,Jul,Enter number 1-31 here,1,,,
